用户ID,商品ID,商品类目ID,行为类型,时间戳,时间,日期,小时,星期几
1000106,3461635,2096639,点击,1512101338,2017-12-01 04:08:58,2017-12-01,4,4
1000106,216602,2096639,点击,1512101389,2017-12-01 04:09:49,2017-12-01,4,4
1000106,2909436,2096639,点击,1512101419,2017-12-01 04:10:19,2017-12-01,4,4
1000106,3326191,2096639,点击,1512101474,2017-12-01 04:11:14,2017-12-01,4,4
1000106,216602,2096639,点击,1512101493,2017-12-01 04:11:33,2017-12-01,4,4
1000106,3973743,2096639,点击,1512101512,2017-12-01 04:11:52,2017-12-01,4,4
1000106,2167765,2096639,点击,1512101517,2017-12-01 04:11:57,2017-12-01,4,4
1000106,1007869,2096639,点击,1512101545,2017-12-01 04:12:25,2017-12-01,4,4
1000106,216602,2096639,点击,1512101567,2017-12-01 04:12:47,2017-12-01,4,4
1000106,1360215,2096639,点击,1512101614,2017-12-01 04:13:34,2017-12-01,4,4
1000106,3973743,2096639,点击,1512101647,2017-12-01 04:14:07,2017-12-01,4,4
1000106,3461635,2096639,点击,1512101694,2017-12-01 04:14:54,2017-12-01,4,4
1000106,4829375,2096639,点击,1512101731,2017-12-01 04:15:31,2017-12-01,4,4
1000106,2909436,2096639,点击,1512101783,2017-12-01 04:16:23,2017-12-01,4,4
1000106,4916052,2096639,点击,1512101791,2017-12-01 04:16:31,2017-12-01,4,4
1000106,882559,2096639,点击,1512101806,2017-12-01 04:16:46,2017-12-01,4,4
1000106,1540133,2096639,点击,1512102000,2017-12-01 04:20:00,2017-12-01,4,4
1000106,2235111,2096639,点击,1512102045,2017-12-01 04:20:45,2017-12-01,4,4
1000106,2726852,2096639,点击,1512102095,2017-12-01 04:21:35,2017-12-01,4,4
1000106,4431715,2096639,点击,1512102463,2017-12-01 04:27:43,2017-12-01,4,4
1000106,1750468,2096639,点击,1512102493,2017-12-01 04:28:13,2017-12-01,4,4
1000106,822490,3922126,点击,1512113997,2017-12-01 07:39:57,2017-12-01,7,4
1000106,4529203,4580532,点击,1512114019,2017-12-01 07:40:19,2017-12-01,7,4
1000106,3957093,4082778,点击,1512114266,2017-12-01 07:44:26,2017-12-01,7,4
1000106,3164473,3004853,点击,1512114286,2017-12-01 07:44:46,2017-12-01,7,4
1000106,3973743,2096639,点击,1512175276,2017-12-02 00:41:16,2017-12-02,0,5
1000106,2604532,2096639,点击,1512175585,2017-12-02 00:46:25,2017-12-02,0,5
1000106,3461635,2096639,点击,1512197082,2017-12-02 06:44:42,2017-12-02,6,5
1000106,2043645,2096639,点击,1512197396,2017-12-02 06:49:56,2017-12-02,6,5
1000106,3461635,2096639,点击,1512204354,2017-12-02 08:45:54,2017-12-02,8,5
1000106,1360215,2096639,点击,1512206715,2017-12-02 09:25:15,2017-12-02,9,5
1000106,2235111,2096639,点击,1512206807,2017-12-02 09:26:47,2017-12-02,9,5
1000106,1360215,2096639,点击,1512206858,2017-12-02 09:27:38,2017-12-02,9,5
1000106,1004288,2096639,点击,1512258316,2017-12-02 23:45:16,2017-12-02,23,5
1000107,443827,3379070,点击,1511614776,2017-11-25 12:59:36,2017-11-25,12,5
1000107,4066167,3379070,点击,1511617404,2017-11-25 13:43:24,2017-11-25,13,5
1000107,4846978,3379070,点击,1511617409,2017-11-25 13:43:29,2017-11-25,13,5
1000107,2278643,1573426,点击,1511617482,2017-11-25 13:44:42,2017-11-25,13,5
1000107,4536630,672001,点击,1511617568,2017-11-25 13:46:08,2017-11-25,13,5
1000107,1320332,1573426,点击,1511701972,2017-11-26 13:12:52,2017-11-26,13,6
1000107,960935,1573426,点击,1511702299,2017-11-26 13:18:19,2017-11-26,13,6
1000107,1320332,1573426,点击,1511704547,2017-11-26 13:55:47,2017-11-26,13,6
1000107,3637024,1573426,点击,1511704634,2017-11-26 13:57:14,2017-11-26,13,6
1000107,1320332,1573426,点击,1511704640,2017-11-26 13:57:20,2017-11-26,13,6
1000107,4389304,3624696,加购,1511750327,2017-11-27 02:38:47,2017-11-27,2,0
1000107,3296900,3624696,点击,1511750391,2017-11-27 02:39:51,2017-11-27,2,0
1000107,5015228,2419959,加购,1511750425,2017-11-27 02:40:25,2017-11-27,2,0
1000107,2332435,1573426,点击,1511750511,2017-11-27 02:41:51,2017-11-27,2,0
1000107,4835913,3002561,点击,1511750529,2017-11-27 02:42:09,2017-11-27,2,0
1000107,4873660,2419959,点击,1511750536,2017-11-27 02:42:16,2017-11-27,2,0
1000107,166308,4170419,加购,1511750556,2017-11-27 02:42:36,2017-11-27,2,0
1000107,15513,3415505,点击,1511750600,2017-11-27 02:43:20,2017-11-27,2,0
1000107,2927395,3159480,点击,1511750694,2017-11-27 02:44:54,2017-11-27,2,0
1000107,4622270,1906712,加购,1511750788,2017-11-27 02:46:28,2017-11-27,2,0
1000107,1053434,2096639,点击,1511750809,2017-11-27 02:46:49,2017-11-27,2,0
1000107,4896193,1276095,点击,1511750845,2017-11-27 02:47:25,2017-11-27,2,0
1000107,3799274,2986945,加购,1511750927,2017-11-27 02:48:47,2017-11-27,2,0
1000107,3117308,2885642,点击,1511754216,2017-11-27 03:43:36,2017-11-27,3,0
1000107,4189688,2885642,点击,1511754224,2017-11-27 03:43:44,2017-11-27,3,0
1000107,3112458,2885642,点击,1511754236,2017-11-27 03:43:56,2017-11-27,3,0
1000107,743409,2986945,点击,1511754249,2017-11-27 03:44:09,2017-11-27,3,0
1000107,3201183,1851156,点击,1511756405,2017-11-27 04:20:05,2017-11-27,4,0
1000107,2147232,2982027,点击,1511756510,2017-11-27 04:21:50,2017-11-27,4,0
1000107,1320332,1573426,点击,1511756665,2017-11-27 04:24:25,2017-11-27,4,0
1000107,3044493,2321441,点击,1511756695,2017-11-27 04:24:55,2017-11-27,4,0
1000107,4622270,1906712,点击,1511773612,2017-11-27 09:06:52,2017-11-27,9,0
1000107,166308,4170419,点击,1511773633,2017-11-27 09:07:13,2017-11-27,9,0
1000107,4406815,1573426,收藏,1511826539,2017-11-27 23:48:59,2017-11-27,23,0
1000107,1995695,672001,加购,1511826577,2017-11-27 23:49:37,2017-11-27,23,0
1000107,1498217,2982027,点击,1511826623,2017-11-27 23:50:23,2017-11-27,23,0
1000107,3448974,2986945,点击,1511826644,2017-11-27 23:50:44,2017-11-27,23,0
1000107,974192,4818107,点击,1511826686,2017-11-27 23:51:26,2017-11-27,23,0
1000107,2738972,2885642,点击,1511829866,2017-11-28 00:44:26,2017-11-28,0,1
1000107,3644327,3747679,加购,1511830236,2017-11-28 00:50:36,2017-11-28,0,1
1000107,1214103,3747679,加购,1511830275,2017-11-28 00:51:15,2017-11-28,0,1
1000107,2621260,722945,点击,1511938539,2017-11-29 06:55:39,2017-11-29,6,2
1000107,3312382,1029459,点击,1511938624,2017-11-29 06:57:04,2017-11-29,6,2
1000107,2001734,4789432,点击,1512011301,2017-11-30 03:08:21,2017-11-30,3,3
1000107,5146433,1102540,点击,1512051784,2017-11-30 14:23:04,2017-11-30,14,3
1000107,1910706,1516409,点击,1512109937,2017-12-01 06:32:17,2017-12-01,6,4
1000107,4189688,2885642,点击,1512140460,2017-12-01 15:01:00,2017-12-01,15,4
1000107,1660583,2885642,点击,1512140561,2017-12-01 15:02:41,2017-12-01,15,4
1000107,929932,2885642,点击,1512140577,2017-12-01 15:02:57,2017-12-01,15,4
1000107,2085081,2885642,点击,1512140584,2017-12-01 15:03:04,2017-12-01,15,4
1000107,3739888,2885642,点击,1512140624,2017-12-01 15:03:44,2017-12-01,15,4
1000107,902510,2885642,点击,1512140657,2017-12-01 15:04:17,2017-12-01,15,4
1000107,670583,2885642,点击,1512140713,2017-12-01 15:05:13,2017-12-01,15,4
1000107,2829118,2885642,点击,1512140857,2017-12-01 15:07:37,2017-12-01,15,4
1000107,3094878,2885642,加购,1512140908,2017-12-01 15:08:28,2017-12-01,15,4
1000107,1214103,3747679,点击,1512141408,2017-12-01 15:16:48,2017-12-01,15,4
1000107,5015228,2419959,点击,1512141557,2017-12-01 15:19:17,2017-12-01,15,4
1000107,4374126,4533189,点击,1512179553,2017-12-02 01:52:33,2017-12-02,1,5
1000107,3847061,3747679,点击,1512179629,2017-12-02 01:53:49,2017-12-02,1,5
1000107,3406093,3747679,点击,1512179646,2017-12-02 01:54:06,2017-12-02,1,5
1000107,3416277,3747679,点击,1512179651,2017-12-02 01:54:11,2017-12-02,1,5
1000107,5045092,3747679,点击,1512196128,2017-12-02 06:28:48,2017-12-02,6,5
1000107,3574261,4152994,点击,1512196270,2017-12-02 06:31:10,2017-12-02,6,5
1000107,183194,672001,点击,1512196480,2017-12-02 06:34:40,2017-12-02,6,5
1000107,4536630,672001,点击,1512196547,2017-12-02 06:35:47,2017-12-02,6,5
1000107,2310712,2885642,点击,1512201617,2017-12-02 08:00:17,2017-12-02,8,5
1000107,670583,2885642,点击,1512201630,2017-12-02 08:00:30,2017-12-02,8,5
1000107,3112458,2885642,点击,1512201661,2017-12-02 08:01:01,2017-12-02,8,5
1000107,1323184,3747679,点击,1512201792,2017-12-02 08:03:12,2017-12-02,8,5
1000107,2829118,2885642,点击,1512201943,2017-12-02 08:05:43,2017-12-02,8,5
1000107,3740171,5048062,点击,1512202119,2017-12-02 08:08:39,2017-12-02,8,5
1000107,2864730,1299190,点击,1512202155,2017-12-02 08:09:15,2017-12-02,8,5
1000107,3662836,4145813,点击,1512202417,2017-12-02 08:13:37,2017-12-02,8,5
1000107,3795547,1041861,点击,1512202433,2017-12-02 08:13:53,2017-12-02,8,5
1000107,323790,2321441,点击,1512202447,2017-12-02 08:14:07,2017-12-02,8,5
1000107,1075536,2419959,点击,1512202458,2017-12-02 08:14:18,2017-12-02,8,5
1000107,2545001,3294401,点击,1512202649,2017-12-02 08:17:29,2017-12-02,8,5
1000107,59883,4818107,加购,1512203036,2017-12-02 08:23:56,2017-12-02,8,5
1000107,3966678,1299190,加购,1512203457,2017-12-02 08:30:57,2017-12-02,8,5
1000107,4143792,4044753,点击,1512204682,2017-12-02 08:51:22,2017-12-02,8,5
1000107,4633570,4044753,点击,1512204743,2017-12-02 08:52:23,2017-12-02,8,5
1000107,4975147,3800818,点击,1512207902,2017-12-02 09:45:02,2017-12-02,9,5
1000107,3048012,672001,点击,1512207926,2017-12-02 09:45:26,2017-12-02,9,5
1000107,2827300,672001,加购,1512208236,2017-12-02 09:50:36,2017-12-02,9,5
1000107,3048012,672001,点击,1512208248,2017-12-02 09:50:48,2017-12-02,9,5
1000107,2827300,672001,点击,1512212260,2017-12-02 10:57:40,2017-12-02,10,5
1000107,1293757,3465932,点击,1512212439,2017-12-02 11:00:39,2017-12-02,11,5
1000107,2236861,2096639,点击,1512232175,2017-12-02 16:29:35,2017-12-02,16,5
1000107,2986567,672001,加购,1512232263,2017-12-02 16:31:03,2017-12-02,16,5
1000107,3677767,672001,点击,1512232484,2017-12-02 16:34:44,2017-12-02,16,5
1000107,4536630,672001,点击,1512232499,2017-12-02 16:34:59,2017-12-02,16,5
1000107,3677767,672001,点击,1512232531,2017-12-02 16:35:31,2017-12-02,16,5
1000107,2827300,672001,点击,1512232590,2017-12-02 16:36:30,2017-12-02,16,5
1000107,59883,4818107,点击,1512232596,2017-12-02 16:36:36,2017-12-02,16,5
1000107,3243627,4792801,点击,1512232621,2017-12-02 16:37:01,2017-12-02,16,5
1000107,777148,3747679,加购,1512232635,2017-12-02 16:37:15,2017-12-02,16,5
1000107,3485526,3747679,加购,1512232654,2017-12-02 16:37:34,2017-12-02,16,5
1000112,181763,2922264,点击,1511603673,2017-11-25 09:54:33,2017-11-25,9,5
1000112,3182473,4462359,点击,1511604076,2017-11-25 10:01:16,2017-11-25,10,5
1000112,4459295,4462359,点击,1511604211,2017-11-25 10:03:31,2017-11-25,10,5
1000112,2193459,1411462,点击,1511664344,2017-11-26 02:45:44,2017-11-26,2,6
1000112,3970782,267209,点击,1511678049,2017-11-26 06:34:09,2017-11-26,6,6
1000112,2843378,2672392,点击,1511944107,2017-11-29 08:28:27,2017-11-29,8,2
1000112,4479356,2553450,点击,1512201632,2017-12-02 08:00:32,2017-12-02,8,5
1000112,4791231,2553450,点击,1512201695,2017-12-02 08:01:35,2017-12-02,8,5
1000112,488375,3252563,点击,1512213232,2017-12-02 11:13:52,2017-12-02,11,5
1000112,2763567,3252563,点击,1512213406,2017-12-02 11:16:46,2017-12-02,11,5
1000112,4707666,3252563,点击,1512213487,2017-12-02 11:18:07,2017-12-02,11,5
1000112,2017400,3252563,点击,1512213702,2017-12-02 11:21:42,2017-12-02,11,5
1000114,1365560,1320293,点击,1511662275,2017-11-26 02:11:15,2017-11-26,2,6
1000114,2623326,154040,点击,1511662406,2017-11-26 02:13:26,2017-11-26,2,6
1000114,730246,4756105,点击,1511662473,2017-11-26 02:14:33,2017-11-26,2,6
1000114,1850950,154040,点击,1511662608,2017-11-26 02:16:48,2017-11-26,2,6
1000114,4578707,1320293,点击,1511662647,2017-11-26 02:17:27,2017-11-26,2,6
1000114,1550635,3745824,点击,1511662698,2017-11-26 02:18:18,2017-11-26,2,6
1000114,2214377,4145813,点击,1511662785,2017-11-26 02:19:45,2017-11-26,2,6
1000114,3755738,4358294,点击,1511662847,2017-11-26 02:20:47,2017-11-26,2,6
1000114,4093743,4781613,点击,1511662885,2017-11-26 02:21:25,2017-11-26,2,6
1000114,312697,1320293,点击,1511662911,2017-11-26 02:21:51,2017-11-26,2,6
1000114,3480736,2428385,点击,1511662935,2017-11-26 02:22:15,2017-11-26,2,6
1000114,3766115,3788576,点击,1511663331,2017-11-26 02:28:51,2017-11-26,2,6
1000114,4159791,982926,点击,1511663383,2017-11-26 02:29:43,2017-11-26,2,6
1000114,2836145,982926,点击,1511663411,2017-11-26 02:30:11,2017-11-26,2,6
1000114,649134,2736436,点击,1511663515,2017-11-26 02:31:55,2017-11-26,2,6
1000114,3039984,154040,点击,1511679901,2017-11-26 07:05:01,2017-11-26,7,6
1000114,4886911,3607361,点击,1511679982,2017-11-26 07:06:22,2017-11-26,7,6
1000114,1520440,982926,点击,1511679989,2017-11-26 07:06:29,2017-11-26,7,6
1000114,4886911,3607361,点击,1511680002,2017-11-26 07:06:42,2017-11-26,7,6
1000114,240883,1320293,点击,1511680038,2017-11-26 07:07:18,2017-11-26,7,6
1000114,362293,982926,点击,1511840064,2017-11-28 03:34:24,2017-11-28,3,1
1000114,3383052,1320293,点击,1511840074,2017-11-28 03:34:34,2017-11-28,3,1
1000114,3622703,982926,点击,1511840118,2017-11-28 03:35:18,2017-11-28,3,1
1000114,4597794,982926,点击,1511840122,2017-11-28 03:35:22,2017-11-28,3,1
1000114,1778993,3607361,点击,1511850076,2017-11-28 06:21:16,2017-11-28,6,1
1000114,1564244,3607361,点击,1511850194,2017-11-28 06:23:14,2017-11-28,6,1
1000114,4474245,3607361,点击,1511850414,2017-11-28 06:26:54,2017-11-28,6,1
1000114,4050485,3607361,点击,1511850446,2017-11-28 06:27:26,2017-11-28,6,1
1000114,4999208,3607361,点击,1511850487,2017-11-28 06:28:07,2017-11-28,6,1
1000114,1200999,3607361,点击,1511850501,2017-11-28 06:28:21,2017-11-28,6,1
1000114,4354364,3607361,点击,1511850513,2017-11-28 06:28:33,2017-11-28,6,1
1000114,4999208,3607361,点击,1511850516,2017-11-28 06:28:36,2017-11-28,6,1
1000114,3624929,3607361,点击,1511850554,2017-11-28 06:29:14,2017-11-28,6,1
1000114,3908819,3607361,点击,1511850857,2017-11-28 06:34:17,2017-11-28,6,1
1000114,148463,3607361,点击,1511850950,2017-11-28 06:35:50,2017-11-28,6,1
1000114,1428302,3607361,点击,1511851004,2017-11-28 06:36:44,2017-11-28,6,1
1000114,4281942,3607361,点击,1511851317,2017-11-28 06:41:57,2017-11-28,6,1
1000114,4293899,3607361,点击,1511851371,2017-11-28 06:42:51,2017-11-28,6,1
1000114,4281942,3607361,点击,1511851551,2017-11-28 06:45:51,2017-11-28,6,1
1000114,2152940,3607361,点击,1511851595,2017-11-28 06:46:35,2017-11-28,6,1
1000114,1776967,3607361,点击,1511851841,2017-11-28 06:50:41,2017-11-28,6,1
1000114,3946755,3607361,点击,1511851879,2017-11-28 06:51:19,2017-11-28,6,1
1000114,2634027,3607361,点击,1511852398,2017-11-28 06:59:58,2017-11-28,6,1
1000114,745292,3607361,点击,1511852452,2017-11-28 07:00:52,2017-11-28,7,1
1000114,907979,3607361,点击,1511852463,2017-11-28 07:01:03,2017-11-28,7,1
1000114,4768049,801221,点击,1511912900,2017-11-28 23:48:20,2017-11-28,23,1
1000114,1457948,4756105,点击,1512008141,2017-11-30 02:15:41,2017-11-30,2,3
1000114,25038,982926,点击,1512008154,2017-11-30 02:15:54,2017-11-30,2,3
1000114,2851222,4756105,点击,1512008167,2017-11-30 02:16:07,2017-11-30,2,3
1000114,3753446,4756105,点击,1512008205,2017-11-30 02:16:45,2017-11-30,2,3
1000114,2851222,4756105,点击,1512008219,2017-11-30 02:16:59,2017-11-30,2,3
1000114,985464,4756105,点击,1512008236,2017-11-30 02:17:16,2017-11-30,2,3
1000114,1320229,4756105,点击,1512008265,2017-11-30 02:17:45,2017-11-30,2,3
1000114,3600228,3607361,点击,1512008316,2017-11-30 02:18:36,2017-11-30,2,3
1000114,141010,3607361,点击,1512008326,2017-11-30 02:18:46,2017-11-30,2,3
1000114,3213465,3607361,点击,1512008333,2017-11-30 02:18:53,2017-11-30,2,3
1000114,3500433,3607361,点击,1512008375,2017-11-30 02:19:35,2017-11-30,2,3
1000114,2972683,3607361,点击,1512008423,2017-11-30 02:20:23,2017-11-30,2,3
1000114,1793088,3607361,点击,1512008440,2017-11-30 02:20:40,2017-11-30,2,3
1000114,3541745,3607361,点击,1512008555,2017-11-30 02:22:35,2017-11-30,2,3
1000114,835215,3607361,点击,1512008593,2017-11-30 02:23:13,2017-11-30,2,3
1000114,3541745,3607361,点击,1512008628,2017-11-30 02:23:48,2017-11-30,2,3
1000114,4550068,3607361,点击,1512008657,2017-11-30 02:24:17,2017-11-30,2,3
1000114,3242643,3607361,点击,1512008678,2017-11-30 02:24:38,2017-11-30,2,3
1000114,4550068,3607361,点击,1512008786,2017-11-30 02:26:26,2017-11-30,2,3
1000114,3541745,3607361,点击,1512008837,2017-11-30 02:27:17,2017-11-30,2,3
1000114,3213465,3607361,点击,1512008847,2017-11-30 02:27:27,2017-11-30,2,3
1000114,3946755,3607361,点击,1512008852,2017-11-30 02:27:32,2017-11-30,2,3
1000114,3500433,3607361,点击,1512008886,2017-11-30 02:28:06,2017-11-30,2,3
1000114,2972683,3607361,点击,1512008895,2017-11-30 02:28:15,2017-11-30,2,3
1000114,3595748,3607361,点击,1512008912,2017-11-30 02:28:32,2017-11-30,2,3
1000114,4550068,3607361,点击,1512008933,2017-11-30 02:28:53,2017-11-30,2,3
1000114,3500433,3607361,点击,1512024099,2017-11-30 06:41:39,2017-11-30,6,3
1000114,3541745,3607361,点击,1512024139,2017-11-30 06:42:19,2017-11-30,6,3
1000114,4550068,3607361,点击,1512024194,2017-11-30 06:43:14,2017-11-30,6,3
1000114,1793088,3607361,点击,1512024225,2017-11-30 06:43:45,2017-11-30,6,3
1000114,2972683,3607361,点击,1512024230,2017-11-30 06:43:50,2017-11-30,6,3
1000114,138964,3607361,点击,1512024239,2017-11-30 06:43:59,2017-11-30,6,3
1000114,843426,3607361,点击,1512024249,2017-11-30 06:44:09,2017-11-30,6,3
1000114,281861,3607361,点击,1512024290,2017-11-30 06:44:50,2017-11-30,6,3
1000114,598908,3607361,点击,1512024389,2017-11-30 06:46:29,2017-11-30,6,3
1000114,281861,3607361,点击,1512024459,2017-11-30 06:47:39,2017-11-30,6,3
1000114,4550068,3607361,点击,1512024483,2017-11-30 06:48:03,2017-11-30,6,3
1000114,2751811,3607361,点击,1512024490,2017-11-30 06:48:10,2017-11-30,6,3
1000114,138964,3607361,点击,1512024505,2017-11-30 06:48:25,2017-11-30,6,3
1000114,1935017,3607361,点击,1512024512,2017-11-30 06:48:32,2017-11-30,6,3
1000114,711824,3607361,点击,1512024524,2017-11-30 06:48:44,2017-11-30,6,3
1000114,4304150,3607361,点击,1512024618,2017-11-30 06:50:18,2017-11-30,6,3
1000114,4690681,3607361,点击,1512024651,2017-11-30 06:50:51,2017-11-30,6,3
1000114,715220,3607361,点击,1512024698,2017-11-30 06:51:38,2017-11-30,6,3
1000114,1653592,3607361,点击,1512024716,2017-11-30 06:51:56,2017-11-30,6,3
1000114,2903102,3607361,点击,1512024774,2017-11-30 06:52:54,2017-11-30,6,3
1000114,2972683,3607361,点击,1512024782,2017-11-30 06:53:02,2017-11-30,6,3
1000114,708900,3607361,点击,1512024791,2017-11-30 06:53:11,2017-11-30,6,3
1000114,2665219,3607361,点击,1512024851,2017-11-30 06:54:11,2017-11-30,6,3
1000114,4601596,3607361,点击,1512024858,2017-11-30 06:54:18,2017-11-30,6,3
1000114,3512053,3607361,点击,1512024962,2017-11-30 06:56:02,2017-11-30,6,3
1000114,2867686,3607361,点击,1512024994,2017-11-30 06:56:34,2017-11-30,6,3
1000114,2742525,3607361,点击,1512025019,2017-11-30 06:56:59,2017-11-30,6,3
1000114,3512053,3607361,点击,1512025052,2017-11-30 06:57:32,2017-11-30,6,3
1000114,2506681,3607361,点击,1512025084,2017-11-30 06:58:04,2017-11-30,6,3
1000114,1115610,3607361,点击,1512025098,2017-11-30 06:58:18,2017-11-30,6,3
1000114,4354009,3607361,点击,1512025109,2017-11-30 06:58:29,2017-11-30,6,3
1000114,3500433,3607361,点击,1512025132,2017-11-30 06:58:52,2017-11-30,6,3
1000114,3173619,3607361,点击,1512025140,2017-11-30 06:59:00,2017-11-30,6,3
1000114,3089730,3607361,点击,1512025158,2017-11-30 06:59:18,2017-11-30,6,3
1000114,4129351,3607361,点击,1512025165,2017-11-30 06:59:25,2017-11-30,6,3
1000114,2972683,3607361,点击,1512025169,2017-11-30 06:59:29,2017-11-30,6,3
1000114,4278677,3607361,点击,1512025189,2017-11-30 06:59:49,2017-11-30,6,3
1000114,1514176,3607361,点击,1512025241,2017-11-30 07:00:41,2017-11-30,7,3
1000114,2523324,3607361,点击,1512025250,2017-11-30 07:00:50,2017-11-30,7,3
1000114,3620588,3607361,点击,1512025271,2017-11-30 07:01:11,2017-11-30,7,3
1000114,1793088,3607361,点击,1512025297,2017-11-30 07:01:37,2017-11-30,7,3
1000114,202386,3607361,点击,1512025316,2017-11-30 07:01:56,2017-11-30,7,3
1000114,1144068,3607361,点击,1512025325,2017-11-30 07:02:05,2017-11-30,7,3
1000114,141010,3607361,点击,1512025384,2017-11-30 07:03:04,2017-11-30,7,3
1000114,2298644,3607361,点击,1512025400,2017-11-30 07:03:20,2017-11-30,7,3
1000114,1458001,3607361,点击,1512025455,2017-11-30 07:04:15,2017-11-30,7,3
1000114,162088,3607361,点击,1512025688,2017-11-30 07:08:08,2017-11-30,7,3
1000114,3870953,3607361,点击,1512025785,2017-11-30 07:09:45,2017-11-30,7,3
1000114,1813226,3607361,点击,1512025792,2017-11-30 07:09:52,2017-11-30,7,3
1000114,162088,3607361,点击,1512025797,2017-11-30 07:09:57,2017-11-30,7,3
1000114,3504754,3607361,点击,1512025985,2017-11-30 07:13:05,2017-11-30,7,3
1000114,1433996,3607361,点击,1512026030,2017-11-30 07:13:50,2017-11-30,7,3
1000114,2523324,3607361,点击,1512026160,2017-11-30 07:16:00,2017-11-30,7,3
1000114,4834259,3607361,点击,1512026296,2017-11-30 07:18:16,2017-11-30,7,3
1000114,2175416,3607361,点击,1512026316,2017-11-30 07:18:36,2017-11-30,7,3
1000114,4618126,3607361,点击,1512026323,2017-11-30 07:18:43,2017-11-30,7,3
1000114,1793088,3607361,点击,1512026372,2017-11-30 07:19:32,2017-11-30,7,3
1000114,3839031,3607361,点击,1512026417,2017-11-30 07:20:17,2017-11-30,7,3
1000114,1691993,3607361,点击,1512026436,2017-11-30 07:20:36,2017-11-30,7,3
1000114,1915883,3607361,加购,1512026763,2017-11-30 07:26:03,2017-11-30,7,3
1000114,3803279,3607361,点击,1512026793,2017-11-30 07:26:33,2017-11-30,7,3
1000114,1915883,3607361,点击,1512026819,2017-11-30 07:26:59,2017-11-30,7,3
1000114,1514176,3607361,点击,1512026829,2017-11-30 07:27:09,2017-11-30,7,3
1000114,3880204,3607361,点击,1512027224,2017-11-30 07:33:44,2017-11-30,7,3
1000114,4226509,3607361,点击,1512027231,2017-11-30 07:33:51,2017-11-30,7,3
1000114,4281132,3607361,点击,1512027253,2017-11-30 07:34:13,2017-11-30,7,3
1000114,1116272,3607361,点击,1512027270,2017-11-30 07:34:30,2017-11-30,7,3
1000114,1896589,3607361,点击,1512027302,2017-11-30 07:35:02,2017-11-30,7,3
1000114,1665192,3607361,点击,1512027486,2017-11-30 07:38:06,2017-11-30,7,3
1000114,1116272,3607361,点击,1512027501,2017-11-30 07:38:21,2017-11-30,7,3
1000114,4550068,3607361,点击,1512027526,2017-11-30 07:38:46,2017-11-30,7,3
1000114,2527091,3607361,点击,1512027535,2017-11-30 07:38:55,2017-11-30,7,3
1000114,194421,3607361,点击,1512027563,2017-11-30 07:39:23,2017-11-30,7,3
1000114,4066893,3607361,点击,1512027573,2017-11-30 07:39:33,2017-11-30,7,3
1000114,4411404,3607361,点击,1512027632,2017-11-30 07:40:32,2017-11-30,7,3
1000114,1896589,3607361,点击,1512027637,2017-11-30 07:40:37,2017-11-30,7,3
1000114,1358135,3607361,点击,1512027701,2017-11-30 07:41:41,2017-11-30,7,3
1000114,4509276,3607361,点击,1512027743,2017-11-30 07:42:23,2017-11-30,7,3
1000114,843426,3607361,点击,1512027779,2017-11-30 07:42:59,2017-11-30,7,3
1000114,3814997,3607361,点击,1512027793,2017-11-30 07:43:13,2017-11-30,7,3
1000114,3537154,3607361,点击,1512027868,2017-11-30 07:44:28,2017-11-30,7,3
1000114,3530444,3607361,点击,1512027889,2017-11-30 07:44:49,2017-11-30,7,3
1000114,737362,3607361,点击,1512027952,2017-11-30 07:45:52,2017-11-30,7,3
1000114,1793088,3607361,点击,1512027996,2017-11-30 07:46:36,2017-11-30,7,3
1000114,3500433,3607361,点击,1512028068,2017-11-30 07:47:48,2017-11-30,7,3
1000114,2920984,3607361,点击,1512028082,2017-11-30 07:48:02,2017-11-30,7,3
1000114,162088,3607361,点击,1512028190,2017-11-30 07:49:50,2017-11-30,7,3
1000114,3208885,3607361,点击,1512028292,2017-11-30 07:51:32,2017-11-30,7,3
1000114,3500433,3607361,点击,1512028304,2017-11-30 07:51:44,2017-11-30,7,3
1000114,3260678,3607361,点击,1512028312,2017-11-30 07:51:52,2017-11-30,7,3
1000114,1896701,3607361,点击,1512028413,2017-11-30 07:53:33,2017-11-30,7,3
1000114,1150104,3607361,点击,1512028466,2017-11-30 07:54:26,2017-11-30,7,3
1000114,1438064,3607361,点击,1512028500,2017-11-30 07:55:00,2017-11-30,7,3
1000114,1903703,3607361,点击,1512028555,2017-11-30 07:55:55,2017-11-30,7,3
1000114,2347981,154040,点击,1512028566,2017-11-30 07:56:06,2017-11-30,7,3
1000114,4673522,3607361,点击,1512031921,2017-11-30 08:52:01,2017-11-30,8,3
1000114,1793088,3607361,点击,1512031938,2017-11-30 08:52:18,2017-11-30,8,3
1000114,3983020,3607361,点击,1512032080,2017-11-30 08:54:40,2017-11-30,8,3
1000114,280204,3607361,点击,1512032147,2017-11-30 08:55:47,2017-11-30,8,3
1000114,4591677,3607361,点击,1512032155,2017-11-30 08:55:55,2017-11-30,8,3
1000114,1036609,154040,点击,1512032164,2017-11-30 08:56:04,2017-11-30,8,3
1000114,3055584,3607361,点击,1512032169,2017-11-30 08:56:09,2017-11-30,8,3
1000114,1255693,3607361,点击,1512032190,2017-11-30 08:56:30,2017-11-30,8,3
1000114,2988594,3607361,点击,1512032226,2017-11-30 08:57:06,2017-11-30,8,3
